id,user_id,step_id,kp,score,comment,ai_score,created_at
32,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP001,4.0,,0.0,2026-02-15T11:04:57.641310
33,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP002,5.0,,0.0,2026-02-15T11:04:57.641310
34,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP003,5.0,,0.0,2026-02-15T11:04:57.641310
35,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP004,4.0,,0.0,2026-02-15T11:04:57.641310
36,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP005,2.0,,0.0,2026-02-15T11:04:57.641310
37,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP055,2.0,,0.0,2026-02-15T11:04:57.641310
38,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP008,4.0,,0.0,2026-02-15T11:24:31.828179
39,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP009,5.0,,0.0,2026-02-15T11:24:31.828179
40,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP010,2.0,,0.0,2026-02-15T11:24:31.828179
41,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP031,3.0,,0.0,2026-02-15T11:24:31.828179
42,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP044,4.0,,0.0,2026-02-15T11:24:31.828179
43,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP008,3.0,,0.0,2026-02-15T11:30:38.105730
44,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP009,3.0,,0.0,2026-02-15T11:30:38.105730
45,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP010,3.0,,0.0,2026-02-15T11:30:38.105730
46,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP031,3.0,,0.0,2026-02-15T11:30:38.105730
47,9d1e7339-7eef-4052-9a76-815e5205c335,s1,KP044,3.0,,0.0,2026-02-15T11:30:38.105730
48,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP011,4.0,,0.0,2026-02-15T11:42:26.754619
49,9d1e7339-7eef-4052-9a76-815e5205c335,s2,KP012,5.0,,0.0,2026-02-15T11:42:26.754619
